date	ranking	creation	library	marking	notifications	onboarding	learning	users
2014-02-13	0	0	0	0	0	0	0	0
2014-02-14	0	0	0	0	0	0	0	0
2014-02-15	0	0	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0	0	0
2014-02-17	0	0	0	0	0	0	0	0
2014-02-18	0	0	0	0	0	0	0	0
2014-02-19	0	0	0	0	0	0	0	0
2014-02-20	0	0	0	0	0	0	0	0
2014-02-21	0	0	0	0	0	0	0	0
2014-02-22	0	0	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0	0	0
2014-02-24	0	0	0	0	0	0	0	0
2014-02-25	0	0	0	0	0	0	0	0
2014-02-26	0	0	0	0	0	0	0	0
2014-02-27	0	0	0	0	0	0	0	0
2014-02-28	0	0	0	0	0	0	0	0
2014-03-01	0	0	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0	0	0
2014-03-03	0	0	0	0	0	0	0	0
2014-03-04	0	0	0	0	0	0	0	0
2014-03-05	0	0	0	0	0	0	0	0
2014-03-06	0	0	0	0	0	0	0	0
2014-03-07	0	0	0	0	0	0	0	0
2014-03-08	0	0	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0	0	0
2014-03-10	0	0	0	0	0	0	0	0
2014-03-11	0	0	0	0	0	0	0	0
2014-03-12	0	0	0	0	0	0	0	0
2014-03-13	0	0	0	0	0	0	0	0
2014-03-14	0	0	0	0	0	0	0	0
2014-03-15	0	0	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0	0	0
2014-03-17	0	0	0	0	0	0	0	0
2014-03-18	0	0	0	0	0	0	0	0
2014-03-19	0	0	0	0	0	0	0	0
2014-03-20	0	0	0	0	0	0	0	0
2014-03-21	0	0	0	0	0	0	0	0
2014-03-22	0	0	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0	0	0
2014-03-24	0	0	0	0	0	0	0	0
2014-03-25	0	0	0	0	0	0	0	0
2014-03-26	0	0	0	0	0	0	0	0
2014-03-27	0	0	0	0	0	0	0	0
2014-03-28	0	0	0	0	0	0	0	0
2014-03-29	0	0	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0	0	0
2014-03-31	0	0	0	0	0	0	0	0
2014-04-01	0	0	0	0	0	0	0	0
2014-04-02	0	0	0	0	0	0	0	0
2014-04-03	0	0	0	0	0	0	0	0
2014-04-04	0	0	0	0	0	0	0	0
2014-04-05	0	0	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0	0	0
2014-04-07	0	0	0	0	0	0	0	0
2014-04-08	0	0	0	0	0	0	0	0
2014-04-09	0	0	0	0	0	0	0	0
2014-04-10	0	0	0	0	0	0	0	0
2014-04-11	0	0	0	0	0	0	0	0
2014-04-12	0	0	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0	0	0
2014-04-14	0	0	0	0	0	0	0	0
2014-04-15	0	0	0	0	0	0	0	0
2014-04-16	0	0	0	0	0	0	0	0
2014-04-17	0	0	0	0	0	0	0	0
2014-04-18	0	0	0	0	0	0	0	0
2014-04-19	0	0	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0	0	0
2014-04-21	0	0	0	0	0	0	0	0
2014-04-22	0	0	0	0	0	0	0	0
2014-04-23	0	0	0	0	0	0	0	0
2014-04-24	0	0	0	0	0	0	0	0
2014-04-25	0	0	0	0	0	0	0	0
2014-04-26	0	0	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0	0	0
2014-04-28	0	0	0	0	0	0	0	0
2014-04-29	0	0	0	0	0	0	0	0
2014-04-30	0	0	0	0	0	0	0	0
2014-05-01	0	0	0	0	0	0	0	0
2014-05-02	0	0	0	0	0	0	0	0
2014-05-03	0	0	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0	0	0
2014-05-05	0	0	0	0	0	0	0	0
2014-05-06	0	0	0	0	0	0	0	0
2014-05-07	0	0	0	0	0	0	0	0
2014-05-08	0	0	0	0	0	0	0	0
2014-05-09	0	0	0	0	0	0	0	0
2014-05-10	0	0	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0	0	0
2014-05-12	0	0	0	0	0	0	0	0
2014-05-13	0	0	0	0	0	0	0	0
2014-05-14	0	0	0	0	0	0	0	0
2014-05-15	0	0	0	0	0	0	0	0
2014-05-16	0	0	0	0	0	0	0	0
2014-05-17	0	0	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0	0	0
2014-05-19	0	0	0	0	0	0	0	0
2014-05-20	0	0	0	0	0	0	0	0
2014-05-21	0	0	0	0	0	0	0	0
2014-05-22	0	0	0	0	0	0	0	0
2014-05-23	0	0	0	0	0	0	0	0
2014-05-24	0	0	0	0	0	0	0	0
